id;ci;nombre_niusta;ru;item;edad;gustos;estatura;titulo
1;93834;Shirt;6649;92644;74112;Arizona synthesizing Fresh;79526;indigo Bacon Mouse
2;81457;payment;52306;90786;35883;HDD;39244;indexing models e-enable
3;46267;intranet index;50272;57748;23221;Regional synthesize;54355;Future
4;62423;Cotton Tactics;62770;73054;33490;Wooden optical Investment Account;53346;Customer mobile Cheese
5;31172;Robust hack Electronics;56988;71406;76245;USB scalable;82125;Fantastic indexing
6;12748;syndicate haptic;14991;48635;22925;application driver;64114;Mexican Peso Mexican Unidad de Inversion (UDI) Portugal
7;25179;transparent Chips;90845;34252;58339;strategize;46200;Communications
8;15335;Connecticut Avon Money Market Account;1811;72609;87212;Security Virginia;69665;Lead alarm Cheese
9;57628;Checking Account markets;73644;10424;93436;Chief Coves Concrete;98484;hacking
10;12466;National FTP Czech Republic;59127;60789;39900;Handmade Plastic Mouse neural;463;leading-edge synergize
